City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sao Joao Da Barra,BR,86.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
1,Mount Isa,AU,73.4,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
2,Saint-Marc,HT,82.02,few clouds,19.1082,-72.6938,Maguana Hotel
4,Atuona,PF,80.06,clear sky,-9.8,-139.0333,Villa Enata
7,Butaritari,KI,81.59,broken clouds,3.0707,172.7902,Isles Sunset Lodge
15,Mar Del Plata,AR,75.2,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
17,Alta Floresta,BR,89.6,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
18,Arraial Do Cabo,BR,87.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
19,Yarada,IN,75.2,mist,17.65,83.2667,Jeevan
21,Kapaa,US,71.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
24,Chuy,UY,74.55,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
27,Maragogi,BR,80.22,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
28,Rikitea,PF,79.79,clear sky,-23.1203,-134.9692,Pension Maro'i
32,Quatre Cocos,MU,77.0,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
33,Riyadh,SA,78.8,clear sky,24.6877,46.7219,InterContinental Riyadh
38,Mareeba,AU,75.2,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
43,Faanui,PF,82.45,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
45,Saint-Philippe,RE,78.8,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
47,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
49,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
50,Isangel,VU,78.8,heavy intensity rain,-19.55,169.2667,Volcano Sea View Tree House
61,Puerto Ayora,EC,84.2,moderate rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Bengkulu,ID,76.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
73,Avarua,CK,80.6,moderate rain,-21.2078,-159.775,Paradise Inn
74,Namibe,AO,75.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
77,Kimbe,PG,78.67,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
82,Sao Filipe,CV,71.67,overcast clouds,14.8961,-24.4956,Tortuga B&B
83,Bambanglipuro,ID,76.57,overcast clouds,-7.95,110.2833,Puri Brata
85,Port Hedland,AU,77.0,clear sky,-20.3167,118.5667,The Esplanade Hotel
87,Touros,BR,84.2,light rain,-5.1989,-35.4608,INN NEW HORIZON
88,Antsohihy,MG,75.06,overcast clouds,-14.8796,47.9875,Hotel de Ville
96,Yei,SS,82.17,broken clouds,4.095,30.6779,City Link Hotel
97,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
102,Eyl,SO,75.02,overcast clouds,7.9803,49.8164,Amiin Hotel
104,Manzanillo,CU,83.43,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
105,Lakatoro,VU,76.03,moderate rain,-16.0999,167.4164,Lakatoro Palm Lodge
106,Cockburn Town,TC,78.55,clear sky,21.4612,-71.1419,Osprey Beach Hotel
107,Pontianak,ID,74.77,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
113,Tautira,PF,86.0,broken clouds,-17.7333,-149.15,Pension Oaoa
118,Rocha,UY,75.36,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
122,Cayenne,GF,86.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
126,Makakilo City,US,73.4,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
128,Tres Arroyos,AR,78.53,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
130,Taranagar,IN,72.23,clear sky,28.6709,75.0351,Jyani Plaza
133,Bathsheba,BB,82.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
134,Luanda,AO,82.4,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
141,Meulaboh,ID,78.17,light rain,4.1363,96.1285,Kost Pria
142,Fare,PF,82.81,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
145,Carnarvon,AU,73.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
147,Pundaguitan,PH,80.85,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
148,Kununurra,AU,78.8,clear sky,-15.7667,128.7333,Hotel Kununurra
155,Dhamtari,IN,78.8,haze,20.7072,81.5497,shimon inn
156,Kerema,PG,76.96,overcast clouds,-7.9631,145.7785,Frena Lodge
158,San Cristobal,VE,87.8,few clouds,7.7669,-72.225,Posada Villaven C.A.
