City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,58,0,16.11,clear sky
1,Mount Isa,AU,-20.7333,139.5,73.4,16,17,10.36,few clouds
2,Saint-Marc,HT,19.1082,-72.6938,82.02,61,15,10.63,few clouds
3,Lompoc,US,34.6391,-120.4579,60.8,55,20,9.22,few clouds
4,Atuona,PF,-9.8,-139.0333,80.06,72,2,12.33,clear sky
5,Qaanaaq,GL,77.484,-69.3632,-23.57,69,0,9.06,clear sky
6,Ahipara,NZ,-35.1667,173.1667,65.05,83,4,2.86,clear sky
7,Butaritari,KI,3.0707,172.7902,81.59,79,81,19.01,broken clouds
8,Geraldton,AU,-28.7667,114.6,68.0,94,0,9.22,clear sky
9,Cape Town,ZA,-33.9258,18.4232,68.0,63,20,11.5,few clouds
10,Punta Arenas,CL,-53.15,-70.9167,64.4,27,0,19.57,clear sky
11,Albany,US,42.6001,-73.9662,34.0,36,1,5.01,clear sky
12,New Norfolk,AU,-42.7826,147.0587,52.0,65,68,1.01,broken clouds
13,Ushuaia,AR,-54.8,-68.3,59.0,51,20,5.75,few clouds
14,Mataura,NZ,-46.1927,168.8643,55.0,80,99,1.01,overcast clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,75.2,88,75,5.75,broken clouds
16,Tolaga Bay,NZ,-38.3667,178.3,66.99,60,6,4.79,clear sky
17,Alta Floresta,BR,-9.8756,-56.0861,89.6,55,40,2.3,scattered clouds
18,Arraial Do Cabo,BR,-22.9661,-42.0278,87.8,58,0,13.8,clear sky
19,Yarada,IN,17.65,83.2667,75.2,83,0,2.3,mist
20,Ponta Do Sol,PT,32.6667,-17.1,60.01,73,51,1.99,broken clouds
21,Kapaa,US,22.0752,-159.319,71.6,68,40,20.71,light rain
22,Victoria,HK,22.2855,114.1577,68.0,90,99,10.85,overcast clouds
23,Penzance,GB,50.1186,-5.5371,46.0,93,90,5.75,overcast clouds
24,Chuy,UY,-33.6971,-53.4616,74.55,84,100,9.93,light rain
25,Longkou,CN,37.6508,120.3286,42.39,79,90,14.25,overcast clouds
26,Aklavik,CA,68.2191,-135.0107,-20.2,69,20,9.22,few clouds
27,Maragogi,BR,-9.0122,-35.2225,80.22,80,0,11.36,clear sky
28,Rikitea,PF,-23.1203,-134.9692,79.79,74,4,1.5,clear sky
29,Jamestown,US,42.097,-79.2353,27.0,89,90,14.94,light snow
30,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,69,20,3.44,few clouds
31,Bemidji,US,47.4736,-94.8803,39.2,60,1,5.75,clear sky
32,Quatre Cocos,MU,-20.2078,57.7625,77.0,88,20,6.91,few clouds
33,Riyadh,SA,24.6877,46.7219,78.8,21,0,9.22,clear sky
34,Safford,US,32.834,-109.7076,62.6,34,40,10.36,scattered clouds
35,Lebu,CL,-37.6167,-73.65,64.4,70,0,17.2,clear sky
36,Airai,TL,-8.9266,125.4092,59.18,93,9,1.05,clear sky
37,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,72,20,19.57,few clouds
38,Mareeba,AU,-17.0,145.4333,75.2,94,40,3.44,scattered clouds
39,Saskylakh,RU,71.9167,114.0833,-33.48,95,88,6.08,overcast clouds
40,Tasiilaq,GL,65.6145,-37.6368,33.8,86,90,2.3,light rain
41,Murray Bridge,AU,-35.1167,139.2667,57.99,96,97,7.05,overcast clouds
42,Hasaki,JP,35.7333,140.8333,46.99,93,75,2.3,broken clouds
43,Faanui,PF,-16.4833,-151.75,82.45,75,100,14.07,light rain
44,Ngunguru,NZ,-35.6167,174.5,59.0,97,0,3.58,clear sky
45,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,90,5.75,overcast clouds
